Anneal Name,Sample Type,Start Date,Start Time,End Date,End Time,Annealing Duration (Days),Temperature (C),Covered in Powder?,Pressure Condition,Resulting Tc (k),Tc Width (K),MPMS considered,Total Number of Crystals,Mass (g),Mass after anneal,Notes,
2019_16,Hg1201,3/21/19,11:40 AM,3/31/19,11:40,10.00,450,No,Vacuum,,,,,,,Samples from 2019_11,
2019_15,Hg1201,3/20/19,2:11 PM,4/25/19,4:27 PM,36.09,450,No,Vacuum,,,,,3.6909,,,
2019_14,Hg1201,3/5/19,2:05 PM,4/10/19,2:35 PM,36.02,300,No,High Pressure O2,,,,,,,,
2019_13,Hg1201,3/1/19,5:56 PM,3/28/19,1:30 PM,26.82,450,No,N2 Flow,,,,,,,,
2019_12,Hg1201,3/1/19,5:56 PM,3/28/19,1:30 PM,26.82,400,No,N2 Flow,,,,,,,,
2019_11,Hg1201,2/15/19,4:42 PM,3/15/19,4:30 PM,27.99,450,No,Vacuum,,,,5,,,,
2019_10b,Hg1201,2/12/19,2:30 PM,2/20/19,2:30 PM,8.00,368,No,Ar/H2 Flow,,,,,0.0082,,"Continuation of 2019_10, sample destroyed",
2019_10,Hg1201,2/1/19,2:30 PM,2/8/19,11:30 AM,6.88,368,No,Ar/H2 Flow,,,,,0.011,0.0096,Samples from JZ-23,2019_4-10 had 2019_x_before anneal and 2019_x_after measurements
2019_9,Hg1201,1/27/19,2:00 PM,1/31/19,2:00 PM,4.00,368,No,Ar/H2 Flow,,,,,0.0014,0.0007,Samples from LT-47,
2019_8,Hg1201,1/22/19,4:00 PM,1/25/19,4:15 PM,3.01,368,No,Ar/H2 Flow,,,,,0.0046,0.0032,Samples from JZ-25,
2019_7,Hg1201,1/20/19,1:30 PM,1/22/19,1:30 PM,2.00,368,No,Ar/H2 Flow,,,,,0.0058,0.0056,Samples from JZ-25,
2019_6,Hg1201,1/19/19,3:30 PM,1/20/19,12:30 PM,0.87,370,No,Ar/H2 Flow,,,,,0.0073,0.007,Samples from JZ-25,
2019_5,Hg1201,1/18/19,12:20 PM,1/18/19,2:20 PM,0.08,400,No,Ar/H2 Flow,,,,,0.0077,0.0071,"Samples from JZ-23, red-brown color on surface",
2019_4,Hg1201,1/17/19,10:35 AM,1/17/19,3:35 PM,0.21,355,No,Ar/H2 Flow,,,,,0.0093,0.009,Samples from JZ-23,
2019_3,Hg1201,1/16/19,11:20 AM,1/16/19,2:20 PM,0.13,350,No,Ar/H2 Flow,,,,,,,"Samples from LT-42, no signal in SQUID measurement, 2019_2_aftersecond",
2019_2,Hg1201,1/14/19,4:46 PM,1/14/19,7:45 PM,0.12,351,No,Ar/H2 Flow,,,,2,0.008,0.0065,Samples from LT-42,
2019_1,Hg1201,1/10/19,6:15 PM,1/11/19,9:15 AM,0.63,389,Yes,Ar/H2 Flow,,,,2,,,"Samples from JZ-35, ground into powder",
2018_14,Hg1201,10/10/18,,,,,300,No,High Pressure O2,,,,,,,Samples from LT-34/44/48,
2018_13,Hg1201,9/7/18,3:14 PM,10/24/18,9:47 AM,46.77,350,No,Vacuum,,,,,,,"Samples from LT-17/18, furnace at room temp with set point of 342",2018_8-13 had 10 second power failure on 9/20
2018_12,Hg1201,9/4/18,4:33 PM,10/9/18,1:34 PM,34.88,430,No,Vacuum,,,,,,,Samples from LT-17/18,
2018_11,Hg1201,8/27/18,2:01 PM,10/9/18,1:35 PM,42.98,465,No,Vacuum,,,,,,,Samples from LT-23/25/35,
2018_10,Hg1201,8/20/18,1:56 PM,,,,350,No,N2 Flow,,,,,,,Samples from LT-23/25,
2018_9,Hg1201,8/20/18,1:56 PM,,,,425,No,N2 Flow,,,,,,,Samples from LT-23/25,
2018_8,Hg1201,8/13/18,12:00 PM,,,,300,No,High Pressure O2,,,,,,,Samples from LT-28,
2018_7,Hg1201,6/28/18,4:18 PM,7/26/18,1:18 PM,27.87,465,No,Vacuum,,,,,,,"Re-anneal of 2018_5; gray coatig on quartz tube; foil packet was black/brown where exposed, shiny silver where covered by foil, black where touching crystals",
2018_6,Hg1201,5/8/18,6:38 PM,6/19/18,3:55 PM,41.89,350,No,O2 Flow,,,,,,,Samples from NG-65/YN-52,
2018_5,Hg1201,5/8/18,6:52 PM,6/6/18,4:29 PM,28.90,400,No,Vacuum,,,,,2.924,,,
2018_4,Hg1201,5/4/18,11:02 AM,6/1/18,9:17 AM,27.93,450,No,Vacuum,,,,,2.219,,Samples from many growths from YN/NG,
2018_3,Hg1201,4/2/18,5:29 PM,5/1/18,4:40 PM,28.97,550,No,N2 Flow,,,,6,,,Samples from YN-22/30/36/NG-15/38/60,
2018_2,Hg1201,4/2/18,5:34 PM,5/1/18,4:31 PM,28.96,450,No,Vacuum,,,,6,,,Samples from YN-21/33/49/NG-12/28/45,
2018_1,Hg1201,3/8/18,5:58 PM,4/6/18,6:55 PM,29.04,550,No,Vacuum,,,,28,1.1215,,Samples from YN-19-50/NG-12-61,
2017_13,Hg1201,12/21/17,11:13 AM,2/13/18,9:10 AM,53.91,600,No,Vacuum,,,,3,,,Samples from YN-33/34/NG-35,
2017_12,Hg1201,12/21/17,11:08 AM,2/13/18,9:10 AM,53.92,550,No,Vacuum,,,,4,,,Samples from YN-33/34/NG-35/52,
2017_11,Hg1201,12/20/17,6:26 PM,2/12/18,10:42 AM,53.68,550,No,Vacuum,,,,4,,,Samples from YN-33/34/NG-35/52,
2017_10,Hg1201,12/20/17,6:17 PM,2/9/18,5:20 PM,50.96,425,No,N2 Flow,,,,22,,,Samples from NG-43/47,
2017_9,Hg1201,10/16/17,5:59 PM,11/13/17,10:20 AM,27.68,650,No,Air,,,,14,,,"Samples from YN-35, samples split into two boats (left-11, right-3), right side quenched 10 days earlier than noted",
2017_8,Hg1201,10/12/17,6:40 PM,11/28/17,10:51 AM,46.67,550,No,Vacuum,,,,,,,Samples from YN-19,
2017_7,Hg1201,10/12/17,4:27 PM,11/20/17,10:02 AM,38.73,550,No,Vacuum,,,,,,,Samples from YN-19,
2017_6,Hg1201,9/7/17,11:50 AM,10/2/17,10:48 AM,24.96,600,No,Vacuum,,,,,0.0202,,"Samples from YN-19/21, tube slid out of furnace",
2017_5,Hg1201,8/16/17,1:25 PM,9/6/17,4:25 PM,21.12,530,No,N2 Flow,,,,,,,,
2017_4,Hg1201,4/24/17,4:39 PM,5/15/17,5:15 PM,21.03,600,No,Vacuum,,,,5,,,,
2017_3,Hg1201,4/21/17,4:20 PM,5/22/17,10:16 AM,30.75,550,No,N2 Flow,,,,20,,,,
2017_2,Hg1201,4/10/17,2:40 PM,5/7/17,9:07 AM,26.77,525,No,N2 Flow,,,,,,,,
2017_1,Hg1201,3/2/17,7:37 PM,3/22/17,10:23 AM,19.62,585,No,Vacuum,,,,7,,,Samples from BY-01 / 2016_9 re-anneal 3,
2016_12,Hg1201,11/7/16,11:00 AM,11/23/16,9:55 AM,15.95,600,No,Vacuum,,,,,,,,
2016_11,Hg1201,10/20/16,7:19 PM,11/29/16,4:15 PM,39.87,,No,N2 Flow,,,,,,,,
2016_10,Hg1201,8/10/16,6:08 PM,9/15/16,5:17 PM,35.96,465,No,N2 Flow,,,,16,,,Samples from ZA-49,
2016_9 re-anneal 3,Hg1201,10/3/16,6:18 PM,10/26/16,3:59 PM,22.90,565,No,Vacuum,,,,,,,Samples had dark red color before in fluorinert and black after,
2016_9,Hg1201,7/29/16,5:15 PM,9/27/16,4:25 PM,59.97,565,No,Vacuum,,,,,,,,
2016_8,Hg1201,6/30/16,,7/22/16,,22.00,700,No,,,,,,,,,
2016_7,Hg1201,5/31/16,4:35 PM,6/13/16,,12.31,580,No,Vacuum,,,,4,,,Samples from JC-36/DP-24/25,
2016_6,Hg1201,5/6/16,5:06 PM,5/17/16,10:11 AM,10.71,600,No,Vacuum,,,,4,,,Samples from JC-26,
2016_5,Hg1201,4/15/16,,6/15/16,,61.00,,No,High Pressure O2,,,,10-15,,,Samples from JC-20,
2016_4,Hg1201,4/7/16,,6/7/16,,61.00,,No,O2 Flow,,,,10-15,,,"Samples from JC-20, possible power outage 5/25",
2016_3,Hg1201,3/28/16,6:37 PM,4/12/16,11:10 AM,14.69,550,No,Vacuum,,,,5,,,Samples from DP-14/JC-20,
2016_2,Hg1201,3/1/16,5:00 PM,3/8/16,,6.29,550,No,Vacuum,,,,4,,,"Samples from DP-14, error when reopening valve to turbo pump, sudden rush og air into the pump, possible damage",
2016_1,Hg1201,2/22/16,,2/29/16,,7.00,550,No,Vacuum,,,,4,,,Samples from DP-14,
